epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1220.7,1.53406,2.70039,2.27817,1.14192,0.42315,0.43681,0.41148,0.24447,0.41472,0.41759,0.39064,0.19466,1.30015,2.1477,1.43128,1.03709,0.0033316,0.0033316,0.0033316
2,2568.8,1.51358,2.56542,1.65879,1.1017,0.56167,0.42123,0.43682,0.25802,0.55257,0.40428,0.41406,0.21302,1.31164,2.19841,1.384,1.03814,0.00653296,0.00653296,0.00653296
3,3423.57,1.56462,2.63756,1.63516,1.11914,0.44691,0.42686,0.41051,0.23811,0.43453,0.41648,0.39573,0.19758,1.3682,2.27018,1.37583,1.07028,0.00960233,0.00960233,0.00960233
4,4164.56,1.57408,2.63999,1.5809,1.12766,0.42664,0.45491,0.42562,0.25212,0.41073,0.43428,0.40114,0.20131,1.3276,2.24602,1.27093,1.05269,0.009406,0.009406,0.009406
5,4862.04,1.53009,2.57341,1.49678,1.10859,0.4837,0.49245,0.46993,0.28139,0.4638,0.47295,0.44678,0.22899,1.28705,2.14363,1.17161,1.04215,0.009208,0.009208,0.009208
6,5541.38,1.49397,2.51822,1.43646,1.09359,0.55042,0.49388,0.49441,0.30141,0.53914,0.47654,0.47382,0.25111,1.26562,2.09331,1.11138,1.02822,0.00901,0.00901,0.00901
7,6216.65,1.48009,2.48458,1.40207,1.08668,0.51936,0.51063,0.49971,0.30643,0.50195,0.49161,0.47521,0.25283,1.2548,2.06754,1.09618,1.02106,0.008812,0.008812,0.008812
8,6899.96,1.46041,2.45086,1.36626,1.07876,0.49211,0.51731,0.50686,0.30987,0.47237,0.49143,0.47997,0.24995,1.23031,2.04971,1.07858,1.01023,0.008614,0.008614,0.008614
9,7569.4,1.44179,2.4245,1.33562,1.07042,0.61479,0.50188,0.53072,0.33006,0.59767,0.48661,0.50906,0.27133,1.21008,1.99466,1.04689,1.00368,0.008416,0.008416,0.008416
10,8249.72,1.43832,2.40752,1.32896,1.0693,0.60501,0.52052,0.54275,0.33603,0.58608,0.50096,0.51649,0.27923,1.20361,1.98793,1.02561,1.00163,0.008218,0.008218,0.008218
11,9014.33,1.42357,2.38911,1.30879,1.06338,0.619,0.53473,0.55192,0.34288,0.60412,0.50622,0.52533,0.28248,1.18577,1.97086,1.00821,0.99175,0.00802,0.00802,0.00802
12,10024.2,1.41865,2.37282,1.2927,1.05897,0.61116,0.53267,0.55454,0.34596,0.59993,0.49846,0.52683,0.28063,1.18719,1.96665,0.99558,0.99518,0.007822,0.007822,0.007822
13,10851.5,1.41375,2.36371,1.28231,1.05728,0.63364,0.5345,0.56665,0.35777,0.61775,0.51016,0.53933,0.29569,1.17966,1.94291,0.97772,0.99151,0.007624,0.007624,0.007624
14,11523.9,1.4027,2.35118,1.26714,1.0523,0.64035,0.53759,0.56969,0.3594,0.63634,0.50626,0.54121,0.29071,1.16405,1.92922,0.96734,0.98436,0.007426,0.007426,0.007426
15,12207.5,1.39052,2.32854,1.2527,1.04888,0.63352,0.5436,0.56957,0.36217,0.60987,0.52138,0.54199,0.29677,1.15953,1.9128,0.95801,0.98312,0.007228,0.007228,0.007228
16,12882.8,1.38884,2.32752,1.24771,1.04697,0.6545,0.5334,0.57385,0.36475,0.63094,0.51338,0.54584,0.29713,1.14928,1.91305,0.94941,0.97914,0.00703,0.00703,0.00703
17,13570.8,1.37874,2.31253,1.23678,1.04367,0.65423,0.54956,0.58088,0.37241,0.63492,0.52833,0.5549,0.30384,1.14576,1.89608,0.95048,0.97594,0.006832,0.006832,0.006832
18,14247.2,1.37507,2.30472,1.23034,1.04267,0.67889,0.53638,0.58396,0.37268,0.65523,0.51179,0.55313,0.30292,1.14132,1.88957,0.93722,0.97414,0.006634,0.006634,0.006634
19,14923.1,1.37382,2.29804,1.22331,1.0405,0.67064,0.53967,0.58616,0.37724,0.65455,0.51182,0.55665,0.30735,1.13489,1.88667,0.92947,0.97231,0.006436,0.006436,0.006436
20,15590.1,1.36783,2.28397,1.2133,1.03747,0.66787,0.54801,0.59188,0.38105,0.64425,0.52558,0.56238,0.30854,1.13325,1.88236,0.92465,0.97153,0.006238,0.006238,0.006238
21,16265.6,1.36263,2.27372,1.20781,1.03678,0.66356,0.55231,0.59255,0.38333,0.64124,0.52744,0.56435,0.31182,1.12972,1.87235,0.92066,0.971,0.00604,0.00604,0.00604
22,17010.9,1.36224,2.27293,1.20175,1.03443,0.67497,0.55075,0.59421,0.385,0.6611,0.52578,0.56694,0.31311,1.1263,1.86765,0.9204,0.96992,0.005842,0.005842,0.005842
23,17997,1.35411,2.26057,1.18903,1.03335,0.66371,0.55506,0.59471,0.38554,0.6438,0.53406,0.567,0.31199,1.12603,1.86437,0.91474,0.96838,0.005644,0.005644,0.005644
24,1071.69,1.34752,2.24513,1.17878,1.0303,0.6785,0.55415,0.59854,0.38752,0.65958,0.52992,0.56952,0.31393,1.122,1.85918,0.90961,0.96558,0.005446,0.005446,0.005446
25,2366.11,1.34659,2.24801,1.17559,1.02869,0.68079,0.55684,0.60063,0.38859,0.66002,0.53512,0.57225,0.31466,1.12233,1.85621,0.90663,0.96627,0.005248,0.005248,0.005248
26,3235.57,1.3446,2.24378,1.17486,1.02829,0.68407,0.5578,0.60284,0.39092,0.66177,0.53534,0.57377,0.31723,1.12097,1.8535,0.90424,0.96612,0.00505,0.00505,0.00505
27,3929.61,1.33757,2.22503,1.16518,1.02526,0.68196,0.56108,0.60412,0.39223,0.66514,0.53721,0.57485,0.31772,1.11983,1.84867,0.9028,0.96547,0.004852,0.004852,0.004852
28,4628.57,1.33512,2.22469,1.1605,1.0238,0.67428,0.56423,0.60515,0.39286,0.65212,0.5413,0.57566,0.31819,1.11888,1.84561,0.8999,0.96508,0.004654,0.004654,0.004654
29,5335.18,1.32587,2.21454,1.15045,1.02038,0.68069,0.56211,0.60634,0.39426,0.6603,0.53781,0.57675,0.31861,1.11653,1.84182,0.89734,0.9643,0.004456,0.004456,0.004456
30,6052.91,1.33025,2.21306,1.14735,1.02096,0.68206,0.56437,0.60731,0.39542,0.65803,0.54279,0.57833,0.32058,1.115,1.83952,0.8949,0.96386,0.004258,0.004258,0.004258
31,6767.78,1.32309,2.19908,1.13803,1.01898,0.68294,0.56336,0.60861,0.39607,0.66333,0.54199,0.58005,0.3215,1.11327,1.83851,0.89278,0.96298,0.00406,0.00406,0.00406
