epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,7467.84,1.31421,2.19153,1.12624,1.01525,0.68218,0.56339,0.60929,0.39691,0.66842,0.54133,0.58198,0.32255,1.11218,1.83647,0.89124,0.9622,0.003862,0.003862,0.003862
33,8166.31,1.31694,2.18837,1.12919,1.01659,0.68411,0.56359,0.60929,0.39767,0.66596,0.54002,0.58144,0.32289,1.11159,1.83455,0.88904,0.96167,0.003664,0.003664,0.003664
34,9195.74,1.3056,2.17674,1.12004,1.01312,0.6857,0.56263,0.60989,0.39792,0.66463,0.54057,0.58142,0.32333,1.1113,1.83353,0.88763,0.96134,0.003466,0.003466,0.003466
35,10278.4,1.3056,2.17059,1.11325,1.01102,0.68181,0.56326,0.6103,0.39796,0.66359,0.54088,0.58199,0.32348,1.11067,1.83262,0.88625,0.96098,0.003268,0.003268,0.003268
36,10983.9,1.3052,2.16733,1.11003,1.01107,0.68493,0.56175,0.61032,0.39809,0.66548,0.5396,0.58164,0.32384,1.11017,1.8309,0.88488,0.96092,0.00307,0.00307,0.00307
37,11718.8,1.29783,2.15885,1.09976,1.00801,0.68203,0.56262,0.6112,0.39904,0.66813,0.53749,0.58228,0.32409,1.10967,1.82845,0.88346,0.9607,0.002872,0.002872,0.002872
38,12450.3,1.28876,2.14281,1.09027,1.00625,0.68498,0.55973,0.61184,0.3994,0.66583,0.53826,0.58254,0.32434,1.10898,1.82766,0.88255,0.9604,0.002674,0.002674,0.002674
39,13177.5,1.28851,2.14401,1.0879,1.00466,0.68622,0.56102,0.61206,0.40017,0.66317,0.53817,0.5822,0.32449,1.10844,1.82669,0.88163,0.96007,0.002476,0.002476,0.002476
40,13899.3,1.27978,2.12938,1.07965,1.00289,0.68321,0.56262,0.61207,0.40053,0.66646,0.53925,0.58293,0.32513,1.10778,1.82562,0.88091,0.95972,0.002278,0.002278,0.002278
41,14634.5,1.28505,2.09031,1.00566,1.00461,0.68543,0.56257,0.61273,0.40096,0.66596,0.54025,0.58334,0.32517,1.1073,1.82423,0.87979,0.9597,0.00208,0.00208,0.00208
42,15318.1,1.2737,2.06888,0.9885,0.99894,0.68472,0.56425,0.61338,0.40142,0.66464,0.54238,0.58425,0.32538,1.10634,1.82292,0.87842,0.95943,0.001882,0.001882,0.001882
43,15999.4,1.27033,2.0609,0.98154,0.99695,0.68341,0.56457,0.6138,0.40191,0.66258,0.54179,0.58439,0.32608,1.10551,1.82161,0.87711,0.95912,0.001684,0.001684,0.001684
44,16678.3,1.26263,2.04547,0.96948,0.99402,0.6815,0.56387,0.61447,0.40256,0.66142,0.54335,0.58507,0.32647,1.10445,1.82009,0.87589,0.95868,0.001486,0.001486,0.001486
45,17364.3,1.2587,2.03962,0.96264,0.99242,0.67746,0.56474,0.6152,0.40283,0.66061,0.54309,0.58531,0.32692,1.10363,1.81865,0.87494,0.9584,0.001288,0.001288,0.001288
46,18047,1.2561,2.03265,0.95491,0.9914,0.67423,0.56678,0.61574,0.40351,0.65614,0.54456,0.58632,0.32797,1.10303,1.81743,0.87407,0.95828,0.00109,0.00109,0.00109
47,18725.5,1.24825,2.02046,0.9435,0.98882,0.67322,0.56691,0.61594,0.40402,0.65684,0.54542,0.58663,0.32824,1.10255,1.81617,0.87324,0.958,0.000892,0.000892,0.000892
48,19401.2,1.24399,2.01301,0.93888,0.98657,0.67081,0.56802,0.61655,0.40465,0.65607,0.54508,0.58726,0.32863,1.10208,1.81505,0.87224,0.95777,0.000694,0.000694,0.000694
49,20079.1,1.24233,2.00783,0.92897,0.98523,0.66862,0.56933,0.61699,0.40511,0.65149,0.54701,0.58744,0.32913,1.10149,1.81387,0.87143,0.95756,0.000496,0.000496,0.000496
50,20755.6,1.23611,1.99532,0.92191,0.98301,0.66807,0.56994,0.61725,0.40565,0.65143,0.54725,0.58776,0.32931,1.10089,1.81308,0.87068,0.95722,0.000298,0.000298,0.000298
