frame_idx,inference_ms,e2e_ms
0,14.618300000000417,14.64540000000003
1,14.941600000000221,15.412000000000425
2,14.159099999999647,14.586099999999824
3,14.227400000000223,14.657800000000165
4,14.052400000000631,14.484600000000292
5,17.953399999999675,18.4337999999995
6,16.355599999999804,16.80249999999983
7,14.83710000000027,15.281100000000158
8,13.910599999999995,14.356900000000117
9,14.131100000000174,14.570099999999364
10,14.377000000000528,14.820600000000184
11,14.013799999999854,14.464000000000254
12,13.94289999999998,14.37320000000053
13,14.19730000000019,14.62750000000046
14,14.227899999999849,14.671600000000673
15,14.683600000000574,15.13019999999976
16,13.839299999999888,14.272199999999735
17,14.28959999999968,14.727200000000273
18,14.208599999999905,14.658200000000399
19,13.766600000000295,14.204400000000561
20,13.81249999999934,14.249699999999699
21,13.83449999999975,14.266700000000299
22,14.296200000000425,14.729799999999571
23,13.619799999999849,14.04540000000054
24,13.715200000000038,14.1486000000004
25,13.600600000000185,14.035699999999984
26,15.312299999999723,15.748899999999288
27,13.622200000000362,14.046000000000447
28,13.89420000000019,14.320900000000414
29,13.939399999999935,14.37109999999997
30,14.23299999999994,14.665100000000209
31,13.740599999999326,14.171999999999407
32,15.50079999999987,15.92789999999944
33,13.69050000000005,14.11290000000065
34,15.806700000000617,16.245800000000088
35,14.940799999999754,15.390400000000248
36,14.278200000000574,14.727999999999852
37,13.761200000000251,14.189000000000007
38,14.029999999999987,14.468499999999551
39,13.888900000000426,14.326999999999757
40,14.017200000000507,14.448199999999467
41,14.230099999999801,14.673700000000345
42,15.431500000000042,15.888700000000533
43,14.002199999999299,14.454899999999604
44,14.08879999999968,14.978900000000017
45,14.183999999999308,14.68910000000001
46,14.084599999999448,14.524699999999946
47,13.962499999999878,14.400699999999489
48,14.877700000000438,15.317400000000703
49,14.12369999999985,14.570399999999317
50,13.86529999999997,14.301099999999956
51,13.690200000000097,14.132400000000267
52,13.726100000000407,14.151700000000211
53,14.686199999999872,15.182199999999924
54,15.250499999999612,15.89029999999969
55,13.868200000000108,14.293699999999632
56,13.718100000000177,14.156700000000022
57,13.740600000000214,14.170599999999922
58,14.486799999999356,14.915300000000187
59,13.780599999999588,14.223799999999898
60,13.662300000000016,14.091699999999818
61,16.470899999999844,16.904400000000486
62,14.557700000001006,14.996299999999962
63,13.980500000000617,14.412599999999998
64,13.940800000000309,14.368199999999831
65,13.85050000000021,14.301299999999628
66,13.914299999999713,14.354100000000258
67,22.6109000000001,23.068099999999703
68,14.175899999999686,14.627499999999571
69,14.32329999999915,14.757400000000587
70,14.032799999998957,14.466899999998617
71,14.06489999999927,14.505800000000235
72,13.854499999998993,14.2818000000009
73,13.805299999999576,14.236800000000827
74,13.978800000000291,14.416699999999949
75,13.705699999999155,14.131000000000782
