epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,40821.9,1.3238,2.1844,1.29377,1.02932,0.68974,0.64915,0.67384,0.43926,0.67803,0.60928,0.6336,0.34404,1.07455,1.81988,0.97634,0.96908,0.004258,0.004258,0.004258
31,42976.3,1.3189,2.1749,1.2885,1.02752,0.69013,0.64964,0.67429,0.43984,0.67662,0.61023,0.6341,0.34438,1.07381,1.81782,0.97468,0.96875,0.00406,0.00406,0.00406
32,45138.6,1.31516,2.17281,1.28072,1.02588,0.69229,0.65013,0.67525,0.44017,0.67873,0.60889,0.63388,0.3443,1.07237,1.81632,0.97331,0.96786,0.003862,0.003862,0.003862
33,47144.1,1.30969,2.15983,1.27643,1.02398,0.69161,0.65087,0.67581,0.4408,0.67987,0.60971,0.63422,0.34442,1.07147,1.81485,0.97176,0.9675,0.003664,0.003664,0.003664
34,49161.3,1.3083,2.1521,1.26406,1.02293,0.69236,0.65141,0.6767,0.44178,0.67973,0.61029,0.63376,0.34461,1.07078,1.81331,0.97025,0.96721,0.003466,0.003466,0.003466
35,51364.3,1.30362,2.14423,1.25876,1.02216,0.69118,0.65296,0.67709,0.44257,0.68012,0.61161,0.63563,0.34542,1.06942,1.8114,0.96882,0.96656,0.003268,0.003268,0.003268
36,53781.9,1.29653,2.13922,1.25021,1.01885,0.69389,0.65273,0.67725,0.44306,0.67735,0.61316,0.63609,0.34574,1.06876,1.80969,0.96714,0.96655,0.00307,0.00307,0.00307
37,56110.9,1.29434,2.12741,1.24255,1.01864,0.69431,0.6555,0.67808,0.44376,0.6798,0.61233,0.63739,0.34626,1.06777,1.8082,0.96539,0.96615,0.002872,0.002872,0.002872
38,58511.7,1.29201,2.13008,1.24117,1.01632,0.69386,0.65735,0.67903,0.44459,0.67834,0.61582,0.63839,0.34671,1.06686,1.8067,0.96394,0.96562,0.002674,0.002674,0.002674
39,60914.9,1.28363,2.11154,1.22989,1.01466,0.69596,0.65659,0.67957,0.44503,0.67795,0.61882,0.63938,0.34721,1.06607,1.80509,0.96228,0.96523,0.002476,0.002476,0.002476
40,63415.5,1.28018,2.10683,1.2197,1.01217,0.6967,0.65734,0.68008,0.44559,0.6757,0.62086,0.63938,0.34772,1.06521,1.80417,0.96059,0.9647,0.002278,0.002278,0.002278
41,66126.4,1.26945,2.08035,1.1502,1.00803,0.69807,0.65651,0.68067,0.44647,0.67652,0.62152,0.64067,0.34828,1.0643,1.80269,0.95864,0.96426,0.00208,0.00208,0.00208
42,68535.3,1.25835,2.05914,1.12765,1.00411,0.69738,0.65759,0.68152,0.44715,0.6792,0.62015,0.64116,0.34886,1.06355,1.80008,0.95665,0.96391,0.001882,0.001882,0.001882
43,70301.9,1.25364,2.04899,1.11817,1.00184,0.70085,0.65674,0.68224,0.44816,0.67658,0.62311,0.64217,0.3494,1.063,1.79835,0.95477,0.96372,0.001684,0.001684,0.001684
44,73310.8,1.24809,2.03615,1.10458,0.99979,0.69975,0.6576,0.68303,0.44885,0.67833,0.62396,0.64298,0.35011,1.06248,1.79689,0.95288,0.96345,0.001486,0.001486,0.001486
45,76738.9,1.24452,2.02931,1.09543,0.999,0.69815,0.66003,0.68398,0.44952,0.6814,0.62235,0.64389,0.35077,1.062,1.79618,0.95092,0.96316,0.001288,0.001288,0.001288
46,79510.3,1.23735,2.01688,1.08794,0.9955,0.70124,0.65971,0.68481,0.45031,0.68039,0.62314,0.64496,0.35159,1.06141,1.79516,0.94903,0.96283,0.00109,0.00109,0.00109
47,82008.5,1.23306,2.00693,1.07509,0.99309,0.70281,0.65971,0.68522,0.45084,0.68052,0.62495,0.64639,0.3525,1.06096,1.79425,0.94723,0.96263,0.000892,0.000892,0.000892
48,84508.3,1.23043,1.99948,1.0669,0.99296,0.70458,0.65994,0.68567,0.45146,0.68142,0.62529,0.64666,0.35318,1.06066,1.79345,0.94572,0.96247,0.000694,0.000694,0.000694
49,86520.3,1.22436,1.98793,1.05663,0.98974,0.70457,0.6611,0.6863,0.45211,0.68305,0.62533,0.64747,0.35396,1.06044,1.79257,0.94418,0.96246,0.000496,0.000496,0.000496
50,88579.7,1.2196,1.98345,1.05152,0.98781,0.70592,0.66055,0.68719,0.45266,0.6838,0.62512,0.64808,0.35433,1.06011,1.79189,0.94282,0.96233,0.000298,0.000298,0.000298
