epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,99083.7,1.23582,2.19028,1.17732,1.04534,0.68932,0.62642,0.65697,0.43864,0.67339,0.59951,0.62198,0.34522,1.02886,1.84824,0.94629,0.95811,0.004258,0.004258,0.004258
31,102795,1.23059,2.17836,1.16729,1.04272,0.68909,0.62799,0.65815,0.43949,0.67513,0.59938,0.62307,0.3463,1.02731,1.84552,0.9439,0.95718,0.00406,0.00406,0.00406
32,106107,1.23067,2.1803,1.1605,1.04056,0.69087,0.62912,0.65914,0.44042,0.67631,0.59933,0.62476,0.3472,1.02622,1.84294,0.94155,0.95645,0.003862,0.003862,0.003862
33,111083,1.2269,2.17473,1.15577,1.0402,0.69214,0.62761,0.65985,0.44135,0.67597,0.59938,0.62551,0.34811,1.02499,1.84049,0.9393,0.9558,0.003664,0.003664,0.003664
34,115433,1.21965,2.1597,1.14924,1.03848,0.69189,0.62957,0.66028,0.44221,0.67442,0.60039,0.6258,0.34874,1.02394,1.8378,0.93682,0.95538,0.003466,0.003466,0.003466
35,118045,1.21558,2.15219,1.14047,1.03582,0.69012,0.63189,0.66119,0.44297,0.67199,0.60382,0.626,0.34991,1.02266,1.83519,0.934,0.95474,0.003268,0.003268,0.003268
36,121927,1.21275,2.14605,1.13579,1.03445,0.68848,0.63418,0.66209,0.44388,0.67148,0.606,0.62754,0.35066,1.0214,1.83239,0.93158,0.95422,0.00307,0.00307,0.00307
37,125058,1.20908,2.1376,1.12763,1.03298,0.68945,0.63426,0.66309,0.44481,0.67137,0.60652,0.62841,0.35114,1.02023,1.83003,0.92923,0.95381,0.002872,0.002872,0.002872
38,128167,1.20879,2.13084,1.1217,1.03011,0.68986,0.63487,0.66414,0.44573,0.66984,0.60655,0.62846,0.35203,1.01914,1.82792,0.92713,0.9532,0.002674,0.002674,0.002674
39,132123,1.19864,2.12047,1.11417,1.0279,0.69039,0.6354,0.66494,0.44654,0.66761,0.60861,0.62944,0.3528,1.01772,1.82563,0.92519,0.9524,0.002476,0.002476,0.002476
